timestamp;datetime;emission_gr_kWh
1712926800;2024-04-12 15:00:00+02:00;160.79
1712927700;2024-04-12 15:15:00+02:00;161.495
1712928600;2024-04-12 15:30:00+02:00;162.217
1712929500;2024-04-12 15:45:00+02:00;161.882
1712930400;2024-04-12 16:00:00+02:00;162.903
1712931300;2024-04-12 16:15:00+02:00;163.485
1712932200;2024-04-12 16:30:00+02:00;168.299
1712933100;2024-04-12 16:45:00+02:00;177.144
1712934000;2024-04-12 17:00:00+02:00;184.108
1712934900;2024-04-12 17:15:00+02:00;195.618
1712935800;2024-04-12 17:30:00+02:00;214.324
1712936700;2024-04-12 17:45:00+02:00;228.659
1712937600;2024-04-12 18:00:00+02:00;250.052
1712938500;2024-04-12 18:15:00+02:00;268.77
1712939400;2024-04-12 18:30:00+02:00;264.472
1712940300;2024-04-12 18:45:00+02:00;273.361
1712941200;2024-04-12 19:00:00+02:00;282.659
1712942100;2024-04-12 19:15:00+02:00;288.168
1712943000;2024-04-12 19:30:00+02:00;292.446
1712943900;2024-04-12 19:45:00+02:00;294.837
1712944800;2024-04-12 20:00:00+02:00;285.127
1712945700;2024-04-12 20:15:00+02:00;283.641
1712946600;2024-04-12 20:30:00+02:00;278.538
1712947500;2024-04-12 20:45:00+02:00;277.094
1712948400;2024-04-12 21:00:00+02:00;261.284
1712949300;2024-04-12 21:15:00+02:00;260.281
1712950200;2024-04-12 21:30:00+02:00;267.255
1712951100;2024-04-12 21:45:00+02:00;275.679
1712952000;2024-04-12 22:00:00+02:00;260.59
1712952900;2024-04-12 22:15:00+02:00;272.538
1712953800;2024-04-12 22:30:00+02:00;273.583
1712954700;2024-04-12 22:45:00+02:00;276.275
1712955600;2024-04-12 23:00:00+02:00;270.019
1712956500;2024-04-12 23:15:00+02:00;271.644
1712957400;2024-04-12 23:30:00+02:00;259.286
1712958300;2024-04-12 23:45:00+02:00;233.993
1712959200;2024-04-13 00:00:00+02:00;217.019
1712960100;2024-04-13 00:15:00+02:00;216.46
1712961000;2024-04-13 00:30:00+02:00;216.492
1712961900;2024-04-13 00:45:00+02:00;216.737
1712962800;2024-04-13 01:00:00+02:00;209.118
1712963700;2024-04-13 01:15:00+02:00;200.665
1712964600;2024-04-13 01:30:00+02:00;201.183
1712965500;2024-04-13 01:45:00+02:00;204.272
1712966400;2024-04-13 02:00:00+02:00;209.005
1712967300;2024-04-13 02:15:00+02:00;209.114
1712968200;2024-04-13 02:30:00+02:00;209.278
1712969100;2024-04-13 02:45:00+02:00;208.346
1712970000;2024-04-13 03:00:00+02:00;210.272
1712970900;2024-04-13 03:15:00+02:00;211.118
1712971800;2024-04-13 03:30:00+02:00;211.779
1712972700;2024-04-13 03:45:00+02:00;209.685
1712973600;2024-04-13 04:00:00+02:00;207.495
1712974500;2024-04-13 04:15:00+02:00;207.107
1712975400;2024-04-13 04:30:00+02:00;205.344
1712976300;2024-04-13 04:45:00+02:00;205.783
1712977200;2024-04-13 05:00:00+02:00;206.336
1712978100;2024-04-13 05:15:00+02:00;206.013
1712979000;2024-04-13 05:30:00+02:00;205.638
1712979900;2024-04-13 05:45:00+02:00;205.071
1712980800;2024-04-13 06:00:00+02:00;195.402
1712981700;2024-04-13 06:15:00+02:00;196.372
1712982600;2024-04-13 06:30:00+02:00;193.641
1712983500;2024-04-13 06:45:00+02:00;195.028
1712984400;2024-04-13 07:00:00+02:00;191.578
1712985300;2024-04-13 07:15:00+02:00;191.547
1712986200;2024-04-13 07:30:00+02:00;188.462
1712987100;2024-04-13 07:45:00+02:00;189.361
1712988000;2024-04-13 08:00:00+02:00;187.177
1712988900;2024-04-13 08:15:00+02:00;192.063
1712989800;2024-04-13 08:30:00+02:00;194.235
1712990700;2024-04-13 08:45:00+02:00;189.554
1712991600;2024-04-13 09:00:00+02:00;182.896
1712992500;2024-04-13 09:15:00+02:00;178.868
1712993400;2024-04-13 09:30:00+02:00;174.477
1712994300;2024-04-13 09:45:00+02:00;173.808
1712995200;2024-04-13 10:00:00+02:00;178.948
1712996100;2024-04-13 10:15:00+02:00;176.417
1712997000;2024-04-13 10:30:00+02:00;173.655
1712997900;2024-04-13 10:45:00+02:00;170.235
1712998800;2024-04-13 11:00:00+02:00;172.058
1712999700;2024-04-13 11:15:00+02:00;167.971
1713000600;2024-04-13 11:30:00+02:00;168.255
1713001500;2024-04-13 11:45:00+02:00;169.002
1713002400;2024-04-13 12:00:00+02:00;166.685
1713003300;2024-04-13 12:15:00+02:00;166.697
1713004200;2024-04-13 12:30:00+02:00;167.47
1713005100;2024-04-13 12:45:00+02:00;169.394
1713006000;2024-04-13 13:00:00+02:00;169.773
1713006900;2024-04-13 13:15:00+02:00;169.526
